,cluster1,cluster1a,cluster1b,cluster2a,cluster2b,cluster2c,cluster2d,cluster2e,cluster2f,cluster2g,cluster2h,cluster3,cluster3a,cluster4,cluster4a
cluster1,0,1821,19505,64,19882,16942,14989,14763,8049,154,5409,4915,6206,14915,18214
cluster1a,1821,0,16192,2171,27098,20751,19508,16083,14156,2580,7210,7262,16128,20125,60398
cluster1b,19505,16192,0,8898,16590,28432,18736,16685,19606,11264,16091,17342,19030,16147,26575
cluster2a,64,2171,8898,0,858,13361,1639,86,10136,9143,14113,14165,26983,3939,8456
cluster2b,19882,27098,16590,858,0,5571,935,610,5514,16074,7520,18307,21271,2333,8506
cluster2c,16942,20751,28432,13361,5571,0,302,5863,57,2347,944,2434,13726,2619,6912
cluster2d,14989,19508,18736,1639,935,302,0,171,8497,16985,9518,11306,20985,1398,8225
cluster2e,14763,16083,16685,86,610,5863,171,0,5965,18505,15604,18131,28559,2827,6670
cluster2f,8049,14156,19606,10136,5514,57,8497,5965,0,6832,825,6561,13754,2562,6868
cluster2g,154,2580,11264,9143,16074,2347,16985,18505,6832,0,49,101,2113,6657,18186
cluster2h,5409,7210,16091,14113,7520,944,9518,15604,825,49,0,1490,9709,4647,8953
cluster3,4915,7262,17342,14165,18307,2434,11306,18131,6561,101,1490,0,4228,837,7449
cluster3a,6206,16128,19030,26983,21271,13726,20985,28559,13754,2113,9709,4228,0,5135,17209
cluster4,14915,20125,16147,3939,2333,2619,1398,2827,2562,6657,4647,837,5135,0,2788
cluster4a,18214,60398,26575,8456,8506,6912,8225,6670,6868,18186,8953,7449,17209,2788,0
